epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),recall,mAP50,mAP50-95,val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
76,20159.8,1.37239,1.07222,1.31395,0.696,0.65225,0.72834,0.40933,1.48474,1.2225,1.43102,0.001703,0.001703,0.001703
77,20391,1.33872,1.05944,1.29488,0.75097,0.66233,0.72884,0.41554,1.51674,1.19272,1.44199,0.00169904,0.00169904,0.00169904
78,20622.8,1.35221,1.0623,1.30331,0.71823,0.62063,0.70709,0.40611,1.47623,1.37081,1.42145,0.00169508,0.00169508,0.00169508
79,20852.6,1.34808,1.04617,1.29698,0.76436,0.66223,0.74695,0.42456,1.51256,1.22661,1.44114,0.00169112,0.00169112,0.00169112
80,21080.6,1.33398,1.03505,1.30287,0.68141,0.66057,0.70786,0.40951,1.47905,1.22884,1.415,0.00168716,0.00168716,0.00168716
81,21311.6,1.35948,1.04657,1.30888,0.70258,0.67998,0.72946,0.43632,1.46706,1.16538,1.39882,0.0016832,0.0016832,0.0016832
82,21544.2,1.34474,1.05767,1.29998,0.70361,0.69052,0.75292,0.43753,1.49871,1.16493,1.42645,0.00167924,0.00167924,0.00167924
83,21779.2,1.33481,1.04127,1.28552,0.70302,0.62627,0.7119,0.43079,1.46225,1.20519,1.39278,0.00167528,0.00167528,0.00167528
84,22007.5,1.32781,1.03607,1.28423,0.75035,0.63394,0.7341,0.43688,1.48376,1.18249,1.41412,0.00167132,0.00167132,0.00167132
85,22237,1.33147,1.02079,1.29454,0.7559,0.64393,0.74803,0.44716,1.43848,1.13644,1.37668,0.00166736,0.00166736,0.00166736
86,22468.6,1.32664,0.98609,1.27598,0.72134,0.68885,0.76404,0.43885,1.48983,1.17432,1.43209,0.0016634,0.0016634,0.0016634
87,22702.6,1.32023,0.99061,1.27929,0.68961,0.64324,0.71335,0.40636,1.52504,1.25261,1.46204,0.00165944,0.00165944,0.00165944
88,22936.5,1.30892,0.98048,1.27333,0.71436,0.69052,0.74055,0.43866,1.48197,1.1331,1.40616,0.00165548,0.00165548,0.00165548
89,23169.6,1.30303,0.96776,1.26428,0.70651,0.66089,0.73065,0.43239,1.4595,1.19482,1.40974,0.00165152,0.00165152,0.00165152
90,23402.4,1.30209,1.00254,1.26937,0.69415,0.66889,0.73809,0.42551,1.51127,1.17515,1.4484,0.00164756,0.00164756,0.00164756
91,23636.9,1.28337,0.98537,1.26464,0.69278,0.66889,0.73388,0.42956,1.47245,1.17752,1.42115,0.0016436,0.0016436,0.0016436
92,23871.3,1.28765,0.9915,1.27187,0.63829,0.70383,0.72356,0.41623,1.52688,1.21075,1.45739,0.00163964,0.00163964,0.00163964
93,24103.2,1.32507,1.00014,1.29737,0.68284,0.68719,0.7456,0.43975,1.45903,1.13447,1.40858,0.00163568,0.00163568,0.00163568
94,24338.4,1.28319,0.98919,1.2737,0.75683,0.6406,0.73122,0.43289,1.50357,1.17875,1.42472,0.00163172,0.00163172,0.00163172
95,24570.3,1.29631,0.96526,1.25556,0.76169,0.63816,0.74861,0.4446,1.46647,1.13171,1.40544,0.00162776,0.00162776,0.00162776
96,24803.7,1.3124,0.96395,1.27255,0.7007,0.6817,0.73361,0.4226,1.48045,1.17285,1.41093,0.0016238,0.0016238,0.0016238
97,25039.9,1.302,0.99199,1.28407,0.71676,0.66389,0.73124,0.41777,1.49228,1.18468,1.4273,0.00161984,0.00161984,0.00161984
98,25275.7,1.29017,0.96204,1.25945,0.73286,0.6589,0.74179,0.43241,1.50593,1.16096,1.42075,0.00161588,0.00161588,0.00161588
99,25508.5,1.30649,0.94656,1.26776,0.6707,0.68552,0.70697,0.40137,1.516,1.24549,1.43635,0.00161192,0.00161192,0.00161192
100,25744.3,1.273,0.94191,1.25859,0.72384,0.65418,0.73698,0.43416,1.4453,1.11734,1.38842,0.00160796,0.00160796,0.00160796
101,25981.9,1.31007,0.95596,1.28148,0.70985,0.66759,0.72117,0.4166,1.45973,1.16581,1.41015,0.001604,0.001604,0.001604
102,26215.3,1.3151,0.98567,1.2747,0.6481,0.73853,0.74186,0.42625,1.51013,1.16433,1.4351,0.00160004,0.00160004,0.00160004
103,26447.2,1.30367,0.9896,1.26214,0.74263,0.66734,0.75056,0.44061,1.46367,1.12893,1.41629,0.00159608,0.00159608,0.00159608
104,26682.7,1.27375,0.95923,1.23834,0.68203,0.69596,0.74182,0.44034,1.49825,1.13218,1.43642,0.00159212,0.00159212,0.00159212
105,26915.2,1.2662,0.93515,1.25841,0.73102,0.64892,0.73286,0.42706,1.54687,1.19798,1.44065,0.00158816,0.00158816,0.00158816
